000000001,000806030,028010050,206908000,000070000,000250040,050000000,100080900,300002700
970500000,002000078,000070400,400890010,060750900,000006000,300025000,608000120,000600030
045600090,000000000,903000205,000290000,000000700,030804002,050380000,000010806,006070010
040098070,007000000,960001200,004020008,000800603,000009010,230400000,000000050,085003000
000120753,005000601,000090000,040000000,001000009,000761000,104250000,080000204,300007005
500300600,000105007,670090000,305000120,000600000,000001009,090408200,000000340,402000000
317000000,040600700,000020000,090000430,523100000,700000001,200800057,009050068,000006300
000200400,200300000,073090000,000000070,600008000,320001090,090040060,000802009,800500030
370600000,004000000,010080520,000005000,020010080,000400000,047050090,000000800,000007062
040000010,006010000,800000264,000000401,000060029,000092086,004500000,002901000,750080000
030001400,000200070,040300500,001007003,200800050,080900020,350096000,000000000,700002006
003000800,000000000,970600300,004005000,600010000,050800126,006058409,000000000,000049013
002009060,040001000,006030400,000020000,009700003,003000105,000000680,300507000,400100000
000400020,730000000,920000300,007000180,406003050,000800400,200609040,009004000,800000200
000000300,008900060,407000200,000020006,080000100,100700080,040063002,000000000,501049000
000000009,009048706,007600004,028030000,000100053,000000000,083906020,000004005,901000000
500000070,000300600,000100000,000600201,408000000,000000300,000057040,010080000,020000000
040000700,000700001,005021006,000800900,600002003,030005008,301640000,000050000,006008200
